Linker script written to: demos/sorted_list_lpc4078.ld
CSV file written to: demos/functions-lpc4078.csv

Function Size Summary:
------------------------------------------------------------------------------------------
Index       Size     New Addr Function Name                                     
  165       60 B       0x4a80 _Z15funct_group4_10v                              
  166       60 B       0x4abc _Z15funct_group4_11v                              
  167       60 B       0x4af8 _Z15funct_group4_12v                              
  168       60 B       0x4b34 _Z15funct_group4_13v                              
  169       60 B       0x4b70 _Z15funct_group4_14v                              
  170       60 B       0x4bac _Z15funct_group4_15v                              
  171       60 B       0x4be8 _Z15funct_group4_16v                              
  172       60 B       0x4c24 _Z15funct_group4_17v                              
  173       60 B       0x4c60 _Z15funct_group4_18v                              
  174       60 B       0x4c9c _Z15funct_group4_19v                              
  175       60 B       0x4cd8 _Z15funct_group4_20v                              
  176       60 B       0x4d14 _Z15funct_group4_21v                              
  177       60 B       0x4d50 _Z15funct_group4_22v                              
  178       60 B       0x4d8c _Z15funct_group4_23v                              
  179       60 B       0x4dc8 _Z15funct_group4_24v                              
  180       60 B       0x4e04 _Z15funct_group4_25v                              
  181       60 B       0x4e40 _Z15funct_group4_26v                              
  182       60 B       0x4e7c _Z15funct_group4_27v                              
  183       60 B       0x4eb8 _Z15funct_group4_28v                              
  184       60 B       0x4ef4 _Z15funct_group4_29v                              
  185       60 B       0x4f30 _Z15funct_group4_30v                              
  186       60 B       0x4f6c _Z15funct_group4_31v                              
  187       60 B       0x4fa8 _Z15funct_group4_32v                              
  188       60 B       0x4fe4 _Z15funct_group4_33v                              
  189       60 B       0x5020 _Z15funct_group4_34v                              
  190       60 B       0x505c _Z15funct_group4_35v                              
  191       60 B       0x5098 _Z15funct_group4_36v                              
  192       60 B       0x50d4 _Z15funct_group4_37v                              
  193       60 B       0x5110 _Z15funct_group4_38v                              
  194       60 B       0x514c _Z15funct_group4_39v                              
  195       60 B       0x5188 _Z15funct_group4_40v                              
  196       60 B       0x51c4 _Z15funct_group4_41v                              
  197       60 B       0x5200 _Z15funct_group4_42v                              
  198       60 B       0x523c _Z15funct_group4_43v                              
  199       60 B       0x5278 _Z15funct_group4_44v                              
  200       60 B       0x52b4 _Z15funct_group4_45v                              
  201       60 B       0x52f0 _Z15funct_group4_46v                              
  202       60 B       0x532c _Z15funct_group4_47v                              
  203       60 B       0x5368 _Z15funct_group4_48v                              
  204       60 B       0x53a4 _Z15funct_group4_49v                              
  205       60 B       0x53e0 _Z15funct_group4_50v                              
  206       60 B       0x541c _Z15funct_group4_51v                              
  207       60 B       0x5458 _Z15funct_group4_52v                              
  208       60 B       0x5494 _Z15funct_group4_53v                              
  209       60 B       0x54d0 _Z15funct_group4_54v                              
  210       60 B       0x550c _Z15funct_group4_55v                              
  211       60 B       0x5548 _Z15funct_group4_56v                              
  212       60 B       0x5584 _Z15funct_group4_57v                              
  213       60 B       0x55c0 _Z15funct_group4_58v                              
  214       60 B       0x55fc _Z15funct_group4_59v                              
  215       60 B       0x5638 _Z15funct_group4_60v                              
  216       60 B       0x5674 _Z15funct_group4_61v                              
  217       60 B       0x56b0 _Z15funct_group4_62v                              
  218       60 B       0x56ec _Z15funct_group4_63v                              
  219       60 B       0x5728 _Z15funct_group4_64v                              
  220       60 B       0x5764 _Z15funct_group4_65v                              
  221       60 B       0x57a0 _Z15funct_group4_66v                              
  222       60 B       0x57dc _Z15funct_group4_67v                              
  223       60 B       0x5818 _Z15funct_group4_68v                              
  224       60 B       0x5854 _Z15funct_group4_69v                              
  225       60 B       0x5890 _Z15funct_group4_70v                              
  226       60 B       0x58cc _Z15funct_group4_71v                              
  227       60 B       0x5908 _Z15funct_group4_72v                              
  228       60 B       0x5944 _Z15funct_group4_73v                              
  229       60 B       0x5980 _Z15funct_group4_74v                              
  230       60 B       0x59bc _Z15funct_group4_75v                              
  231       60 B       0x59f8 _Z15funct_group4_76v                              
  232       60 B       0x5a34 _Z15funct_group4_77v                              
  233       60 B       0x5a70 _Z15funct_group4_78v                              
  234       60 B       0x5aac _Z15funct_group4_79v                              
  235       60 B       0x5ae8 _Z15funct_group4_80v                              
  236       60 B       0x5b24 _Z15funct_group4_81v                              
  237       60 B       0x5b60 _Z15funct_group4_82v                              
  238       60 B       0x5b9c _Z15funct_group4_83v                              
  239       60 B       0x5bd8 _Z15funct_group4_84v                              
  240       60 B       0x5c14 _Z15funct_group4_85v                              
  241       60 B       0x5c50 _Z15funct_group4_86v                              
  242       60 B       0x5c8c _Z15funct_group4_87v                              
  243       60 B       0x5cc8 _Z15funct_group4_88v                              
  244       60 B       0x5d04 _Z15funct_group4_89v                              
  245       60 B       0x5d40 _Z15funct_group4_90v                              
  246       60 B       0x5d7c _Z15funct_group4_91v                              
  247       60 B       0x5db8 _Z15funct_group4_92v                              
  248       60 B       0x5df4 _Z15funct_group4_93v                              
  249       60 B       0x5e30 _Z15funct_group4_94v                              
  250       60 B       0x5e6c _Z15funct_group6_10v                              
  251       58 B       0x5ea8 _ZNK10__cxxabiv120__si_class_type_info20__do_find_public_srcEiPKvPKNS_17__class_type_infoES2_
  252       56 B       0x5ee4 __cxa_guard_acquire                               
  253       56 B       0x5f1c next_unwind_byte                                  
  254       56 B       0x5f54 unwind_phase2                                     
  255       52 B       0x5f8c _ZN2ke13get_rtti_typeEPKv                         
  256       52 B       0x5fc0 _ZNK10__cxxabiv117__class_type_info11__do_upcastEPKS0_PPv
  257       46 B       0x5ff4 _Unwind_VRS_Get                                   
  258       46 B       0x6024 _Unwind_VRS_Set                                   
  259       44 B       0x6054 _Z41__static_initialization_and_destruction_0ii   
  260       44 B       0x6080 _ZNKSt9type_info7__equalERKS_                     
  261       44 B       0x60ac _ZNKSt9type_infoeqERKS_                           
  262       44 B       0x60d8 _ZTVN10__cxxabiv117__class_type_infoE             
  263       44 B       0x6104 _ZTVN10__cxxabiv120__si_class_type_infoE          
  264       44 B       0x6130 _ZTVN10__cxxabiv121__vmi_class_type_infoE         
  265       42 B       0x615c _ZN2ke15get_index_entryEm                         
  266       42 B       0x6188 _ZNK10__cxxabiv117__class_type_info10__do_catchEPKSt9type_infoPPvj
  267       42 B       0x61b4 _ZNK10__cxxabiv120__si_class_type_info11__do_upcastEPKNS_17__class_type_infoEPKvRNS1_15__upcast_resultE
  268       40 B       0x61e0 __gnu_unwind_get_pr_addr                          
  269       40 B       0x6208 __popcountsi2                                     
